Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV)
PC12,MTT,C,3,80,87.0056,504.5,-10.7
PC12,XTT,C,3,100,82.2599,504.5,-10.7
PC12,XTT,C,3,120,106.7797,504.5,-10.7
PC12,XTT,C,3,150,94.1243,504.5,-10.7
PC12,XTT,C,24,0,100,228.3,-10.7
PC12,XTT,C,24,20,87.62,228.3,-10.7
PC12,XTT,C,24,40,94.16,228.3,-10.7
PC12,XTT,C,24,60,84.14,228.3,-10.7
PC12,XTT,C,24,80,99.83,228.3,-10.7
BEAS-2B,CCK-8,CaHCO3,24,100,101.14,228.3,-10.7
BEAS-2B,CCK-8,CaHCO3,24,120,112.47,228.3,-10.7
BEAS-2B,CCK-8,CaHCO3,24,150,108.55,228.3,-10.7
BEAS-2B,CCK-8,CaHCO3,6,0,100,228.3,-10.7
BEAS-2B,CCK-8,CaHCO3,6,20,95.9,228.3,-10.7
BEAS-2B,CCK-8,CaHCO3,6,40,100.7,228.3,-10.7
BEAS-2B,CCK-8,CaHCO3,6,60,87.19,228.3,-10.7
BEAS-2B,CCK-8,CaHCO3,6,80,112.04,228.3,-10.7
BEAS-2B,CCK-8,CaHCO3,6,100,102.01,228.3,-10.7
BEAS-2B,CCK-8,CaHCO3,6,120,102.01,228.3,-10.7
BEAS-2B,CCK-8,CaHCO3,6,150,91.11,228.3,-10.7
BEAS-2B,CCK-8,CaHCO3,3,0,100,228.3,-10.7
RAW264.7,CCK-8,CaHCO3,3,20,122.5,228.3,-10.7
RAW264.7,CCK-8,CaHCO3,3,40,124.6,228.3,-10.7
RAW264.7,CCK-8,CaHCO3,3,60,125.9,228.3,-10.7
RAW264.7,CCK-8,CaHCO3,3,80,127.3,228.3,-10.7
RAW264.7,CCK-8,CaHCO3,3,100,118.14,228.3,-10.7
RAW264.7,CCK-8,CaHCO3,3,120,116.4,228.3,-10.7
RAW264.7,CCK-8,CaHCO3,3,150,116.4,228.3,-10.7
RAW264.7,CCK-8,CaHCO3,24,0,100,228.3,-10.7
RAW264.7,CCK-8,CaHCO3,24,20,105.5,228.3,-10.7
RAW264.7,CCK-8,CaHCO3,24,40,95.67,228.3,-10.7
RAW264.7,CCK-8,CaHCO3,24,60,102.71,228.3,-10.7
RAW264.7,CCK-8,CaHCO3,24,80,106.58,228.3,-10.7
HepG2,CCK-8,CaHCO3,24,100,99.89,228.3,-10.7
HepG2,CCK-8,CaHCO3,24,120,114.67,228.3,-10.7
HepG2,CCK-8,CaHCO3,24,150,119.59,228.3,-10.7
HepG2,CCK-8,CaHCO3,6,0,100,228.3,-10.7
HepG2,CCK-8,CaHCO3,6,20,93.91,228.3,-10.7
HepG2,CCK-8,CaHCO3,6,40,92.16,228.3,-10.7
HepG2,CCK-8,CaHCO3,6,60,95.67,228.3,-10.7
HepG2,CCK-8,CaHCO3,6,80,90.05,228.3,-10.7
HepG2,CCK-8,CaHCO3,6,100,88.29,228.3,-10.7
HepG2,CCK-8,CaHCO3,6,120,103.06,228.3,-10.7
HepG2,CCK-8,CaHCO3,6,150,90.75,228.3,-10.7
HepG2,CCK-8,CaHCO3,3,0,100,228.3,-10.7
